cell_id,x,y
A0.-E1.C6,-11,12.25
A0.-E1.C5,-10,12.5
A0.-E1.C4,-9,12.5
A0.-E1.C3,-8,12.5
A0.-E1.C2,-7,12.75
A0.-E1.C1,-7,12.25
A0.-E2.C7,-5,12.75
A0.-E2.C6,-5,12.25
A0.-E2.C5,-4,12.5
A0.-E2.C4,-3,12.5
A0.-E2.C3,-2,12.5
A0.-E2.C2,-1,12.75
A0.-E2.C1,-1,12.25
A0.-E3.C7,1,12.75
A0.-E3.C6,1,12.25
A0.-E3.C5,2,12.5
A0.-E3.C4,3,12.5
A0.-E3.C3,4,12.5
A0.-E3.C2,5,12.75
A0.-E3.C1,5,12.25
A0.-E4.C7,7,12.75
A0.-E4.C6,7,12.25
A0.-E4.C5,8,12.5
A0.-E4.C4,9,12.5
A0.-E4.C3,10,12.5
A0.-E4.C2,11,12.75
A0.-E4.C1,11,12.25
A1.E107.C7,13,12.75
A1.E107.C6,13,12.25
A1.E107.C5,14,12.5
A1.E107.C4,15,12.5
A1.E107.C0,16,12.5
A1.-E120.C0,-16,6.5
A1.-E120.C4,-15,6.5
A1.-E120.C3,-14,6.5
A1.-E120.C2,-13,6.75
A1.-E120.C1,-13,6.25
A0.-E5.C7,-11,6.75
A0.-E5.C6,-11,6.25
A0.-E5.C5,-10,6.5
A0.-E5.C4,-9,6.5
A0.-E5.C3,-8,6.5
A0.-E5.C2,-7,6.75
A0.-E5.C1,-7,6.25
A0.-E6.C7,-5,6.75
A0.-E6.C6,-5,6.25
A0.-E6.C5,-4,6.5
A0.-E6.C4,-3,6.5
A0.-E6.C3,-2,6.5
A0.-E6.C2,-1,6.75
A0.-E6.C1,-1,6.25
A0.-E7.C7,1,6.75
A0.-E7.C6,1,6.25
A0.-E7.C5,2,6.5
A0.-E7.C4,3,6.5
A0.-E7.C3,4,6.5
A0.-E7.C2,5,6.75
A0.-E7.C1,5,6.25
A0.-E8.C7,7,6.75
A0.-E8.C6,7,6.25
A0.-E8.C5,8,6.5
A0.-E8.C4,9,6.5
A0.-E8.C3,10,6.5
A0.-E8.C2,11,6.75
A0.-E8.C1,11,6.25
A1.E108.C7,13,6.75
A1.E108.C6,13,6.25
A1.E108.C5,14,6.5
A1.E108.C4,15,6.5
A1.E108.C0,16,6.5
A1.-E119.C0,-16,0.5
A1.-E119.C4,-15,0.5
A1.-E119.C3,-14,0.5
A1.-E119.C2,-13,0.75
A1.-E119.C1,-13,0.25
A0.-E9.C7,-11,0.75
A0.-E9.C6,-11,0.25
A0.-E9.C5,-10,0.5
A0.-E9.C4,-9,0.5
A0.-E9.C3,-8,0.5
A0.-E9.C2,-7,0.75
A0.-E9.C1,-7,0.25
A0.-E10.C7,-5,0.75
A0.-E10.C6,-5,0.25
A0.-E10.C5,-4,0.5
A0.-E10.C4,-3,0.5
A0.-E10.C3,-2,0.5
A0.-E10.C2,-1,0.75
A0.-E10.C1,-1,0.25
A0.-E11.C7,1,0.75
A0.-E11.C6,1,0.25
A0.-E11.C5,2,0.5
A0.-E11.C4,3,0.5
A0.-E11.C3,4,0.5
A0.-E11.C2,5,0.75
A0.-E11.C1,5,0.25
A0.-E12.C7,7,0.75
A0.-E12.C6,7,0.25
A0.-E12.C5,8,0.5
A0.-E12.C4,9,0.5
A0.-E12.C3,10,0.5
A0.-E12.C2,11,0.75
A0.-E12.C1,11,0.25
A1.E109.C7,13,0.75
A1.E109.C6,13,0.25
A1.E109.C5,14,0.5
A1.E109.C4,15,0.5
A1.E109.C0,16,0.5
A1.-E118.C0,-16,-5.5
A1.-E118.C4,-15,-5.5
A1.-E118.C3,-14,-5.5
A1.-E118.C2,-13,-5.25
A1.-E118.C1,-13,-5.75
A0.-E13.C7,-11,-5.25
A0.-E13.C6,-11,-5.75
A0.-E13.C5,-10,-5.5
A0.-E13.C4,-9,-5.5
A0.-E13.C3,-8,-5.5
A0.-E13.C2,-7,-5.25
A0.-E13.C1,-7,-5.75
A0.-E14.C7,-5,-5.25
A0.-E14.C6,-5,-5.75
A0.-E14.C5,-4,-5.5
A0.-E14.C4,-3,-5.5
A0.-E14.C3,-2,-5.5
A0.-E14.C2,-1,-5.25
A0.-E14.C1,-1,-5.75
A0.-E15.C7,1,-5.25
A0.-E15.C6,1,-5.75
A0.-E15.C5,2,-5.5
A0.-E15.C4,3,-5.5
A0.-E15.C3,4,-5.5
A0.-E15.C2,5,-5.25
A0.-E15.C1,5,-5.75
A0.-E16.C7,7,-5.25
A0.-E16.C6,7,-5.75
A0.-E16.C5,8,-5.5
A0.-E16.C4,9,-5.5
A0.-E16.C3,10,-5.5
A0.-E16.C2,11,-5.25
A0.-E16.C1,11,-5.75
A1.E110.C7,13,-5.25
A1.E110.C6,13,-5.75
A1.E110.C5,14,-5.5
A1.E110.C4,15,-5.5
A1.E110.C0,16,-5.5
A1.-E117.C0,-16,-11.5
A1.-E117.C4,-15,-11.5
A1.-E117.C3,-14,-11.5
A1.-E117.C2,-13,-11.25
A1.-E117.C1,-13,-11.75
A0.-E17.C7,-11,-11.25
A0.-E17.C6,-11,-11.75
A0.-E17.C5,-10,-11.5
A0.-E17.C4,-9,-11.5
A0.-E17.C3,-8,-11.5
A0.-E17.C2,-7,-11.25
A0.-E17.C1,-7,-11.75
A0.-E18.C7,-5,-11.25
A0.-E18.C6,-5,-11.75
A0.-E18.C5,-4,-11.5
A0.-E18.C4,-3,-11.5
A0.-E18.C3,-2,-11.5
A0.-E18.C2,-1,-11.25
A0.-E18.C1,-1,-11.75
A0.-E19.C7,1,-11.25
A0.-E19.C6,1,-11.75
A0.-E19.C5,2,-11.5
A0.-E19.C4,3,-11.5
A0.-E19.C3,4,-11.5
A0.-E19.C2,5,-11.25
A0.-E19.C1,5,-11.75
A0.-E20.C7,7,-11.25
A0.-E20.C6,7,-11.75
A0.-E20.C5,8,-11.5
A0.-E20.C4,9,-11.5
A0.-E20.C3,10,-11.5
A0.-E20.C2,11,-11.25
A0.-E20.C1,11,-11.75
A1.E111.C7,13,-11.25
A1.E111.C6,13,-11.75
A1.E111.C5,14,-11.5
A1.E111.C4,15,-11.5
A1.E111.C0,16,-11.5


A1.E102.C0,-12.5,16
A1.E102.C4,-12.5,15
A1.E102.C5,-12.5,14
A1.E102.C6,-12.25,13
A1.E102.C7,-12.75,13
A0.E21.C1,-12.25,11
A0.E21.C2,-12.75,11
A0.E21.C3,-12.5,10
A0.E21.C4,-12.5,9
A0.E21.C5,-12.5,8
A0.E21.C6,-12.25,7
A0.E21.C7,-12.75,7
A0.E22.C1,-12.25,5
A0.E22.C2,-12.75,5
A0.E22.C3,-12.5,4
A0.E22.C4,-12.5,3
A0.E22.C5,-12.5,2
A0.E22.C6,-12.25,1
A0.E22.C7,-12.75,1
A0.E23.C1,-12.25,-1
A0.E23.C2,-12.75,-1
A0.E23.C3,-12.5,-2
A0.E23.C4,-12.5,-3
A0.E23.C5,-12.5,-4
A0.E23.C6,-12.25,-5
A0.E23.C7,-12.75,-5
A0.E24.C1,-12.25,-7
A0.E24.C2,-12.75,-7
A0.E24.C3,-12.5,-8
A0.E24.C4,-12.5,-9
A0.E24.C5,-12.5,-10
A0.E24.C6,-12.25,-11
A0.E24.C7,-12.75,-11
A1.-E116.C1,-12.25,-13
A1.-E116.C2,-12.75,-13
A1.-E116.C3,-12.5,-14
A1.-E116.C4,-12.5,-15
A1.-E116.C0,-12.5,-16

A1.E103.C0,-6.5,16
A1.E103.C4,-6.5,15
A1.E103.C5,-6.5,14
A1.E103.C6,-6.25,13
A1.E103.C7,-6.75,13
A0.E25.C1,-6.25,11
A0.E25.C2,-6.75,11
A0.E25.C3,-6.5,10
A0.E25.C4,-6.5,9
A0.E25.C5,-6.5,8
A0.E25.C6,-6.25,7
A0.E25.C7,-6.75,7
A0.E26.C1,-6.25,5
A0.E26.C2,-6.75,5
A0.E26.C3,-6.5,4
A0.E26.C4,-6.5,3
A0.E26.C5,-6.5,2
A0.E26.C6,-6.25,1
A0.E26.C7,-6.75,1
A0.E27.C1,-6.25,-1
A0.E27.C2,-6.75,-1
A0.E27.C3,-6.5,-2
A0.E27.C4,-6.5,-3
A0.E27.C5,-6.5,-4
A0.E27.C6,-6.25,-5
A0.E27.C7,-6.75,-5
A0.E28.C1,-6.25,-7
A0.E28.C2,-6.75,-7
A0.E28.C3,-6.5,-8
A0.E28.C4,-6.5,-9
A0.E28.C5,-6.5,-10
A0.E28.C6,-6.25,-11
A0.E28.C7,-6.75,-11
A1.-E115.C1,-6.25,-13
A1.-E115.C2,-6.75,-13
A1.-E115.C3,-6.5,-14
A1.-E115.C4,-6.5,-15
A1.-E115.C0,-6.5,-16

A1.E104.C0,-0.5,16
A1.E104.C4,-0.5,15
A1.E104.C5,-0.5,14
A1.E104.C6,-0.25,13
A1.E104.C7,-0.75,13
A0.E29.C1,-0.25,11
A0.E29.C2,-0.75,11
A0.E29.C3,-0.5,10
A0.E29.C4,-0.5,9
A0.E29.C5,-0.5,8
A0.E29.C6,-0.25,7
A0.E29.C7,-0.75,7
A0.E30.C1,-0.25,5
A0.E30.C2,-0.75,5
A0.E30.C3,-0.5,4
A0.E30.C4,-0.5,3
A0.E30.C5,-0.5,2
A0.E30.C6,-0.25,1
A0.E30.C7,-0.75,1
A0.E31.C1,-0.25,-1
A0.E31.C2,-0.75,-1
A0.E31.C3,-0.5,-2
A0.E31.C4,-0.5,-3
A0.E31.C5,-0.5,-4
A0.E31.C6,-0.25,-5
A0.E31.C7,-0.75,-5
A0.E32.C1,-0.25,-7
A0.E32.C2,-0.75,-7
A0.E32.C3,-0.5,-8
A0.E32.C4,-0.5,-9
A0.E32.C5,-0.5,-10
A0.E32.C6,-0.25,-11
A0.E32.C7,-0.75,-11
A1.-E114.C1,-0.25,-13
A1.-E114.C2,-0.75,-13
A1.-E114.C3,-0.5,-14
